artist,release
"I No Spik Inglish","Io No Spik Inglish[RELEASE]"
"Master P","Bout Dat[RELEASE]"
"Silkk The Shocker","Bout Dat[RELEASE]"
2Pac,"Pac's Life[RELEASE]"
Ashanti,"Pac's Life[RELEASE]"
T.I.,"Pac's Life[RELEASE]"
"The Criminal Minds",Battleplan[RELEASE]
"32 Troop",Battleplan[RELEASE]
"DJ Fresh Kidamore","Kidamore On The Mic / DJ Politician[RELEASE]"
"Rapmaster ""B""","Kidamore On The Mic / DJ Politician[RELEASE]"
"DJ Def E.Z. ""D""","Kidamore On The Mic / DJ Politician[RELEASE]"
"Jesse Boykins III","Zulu Guru[RELEASE]"
MeLo-X,"Zulu Guru[RELEASE]"
NMZS,Aschenbecher[RELEASE]
"Danger Dan",Aschenbecher[RELEASE]
"Suga Free","The Konnectid Project Vol. 1[RELEASE]"
Mausberg,"The Konnectid Project Vol. 1[RELEASE]"
Saliha,"Moment De Gloire[RELEASE]"
"Harmony (3)","Moment De Gloire[RELEASE]"
"Twin Peaks (3)","Mount Crushmore[RELEASE]"
Returners,"Mount Crushmore[RELEASE]"
"Gemini (3)","Crazy For You[RELEASE]"
"MC Magic (3)","Crazy For You[RELEASE]"
"DJ Eleven","The Glamorous Life[RELEASE]"
"DJ Ayres","The Glamorous Life[RELEASE]"
"Gate Keepaz","Custodi Del Segreto[RELEASE]"
"Maory B","Custodi Del Segreto[RELEASE]"
"Lights Out (5)","Attack Of The Killer Beats[RELEASE]"
"Little Liz","Attack Of The Killer Beats[RELEASE]"
"La Pina","Parla Piano[RELEASE]"
"Soul Kingdom","Parla Piano[RELEASE]"
"Ying Yang Twins","What's Happnin! / Salt Shaker (Remix)[RELEASE]"
"Trick Daddy","What's Happnin! / Salt Shaker (Remix)[RELEASE]"
"Lil' Jon","What's Happnin! / Salt Shaker (Remix)[RELEASE]"
"Murphy Lee","What's Happnin! / Salt Shaker (Remix)[RELEASE]"
"Fat Joe","What's Happnin! / Salt Shaker (Remix)[RELEASE]"
"Juvenile (2)","What's Happnin! / Salt Shaker (Remix)[RELEASE]"
"Boody B",Liquid[RELEASE]
Le1f,Liquid[RELEASE]
"LL Cool J","Amazin'[RELEASE]"
"Kandice Love","Amazin'[RELEASE]"
"Naughty Boy (3)",Wonder[RELEASE]
"Emeli Sande",Wonder[RELEASE]
"The Ko' Rok Two","Get It On[RELEASE]"
"Oxygen (16)","Get It On[RELEASE]"
Jadakiss,"By My Side[RELEASE]"
Ne-Yo,"By My Side[RELEASE]"
"DJ JS-1",Brainwash[RELEASE]
"DJ Ody-Roc",Brainwash[RELEASE]
PSK-13,"Somethin' To Lean To Pt. 3 (Da Trill-Ogy) Chopped & Skrewed[RELEASE]"
"Nightshift Muzik","Somethin' To Lean To Pt. 3 (Da Trill-Ogy) Chopped & Skrewed[RELEASE]"
"Silkk The Shocker","He Did That[RELEASE]"
"Master P","He Did That[RELEASE]"
"Mac (2)","He Did That[RELEASE]"
Guce,"Westside Stories[RELEASE]"
"Killa Tay","Westside Stories[RELEASE]"
"Bullys Wit Fullys","Westside Stories[RELEASE]"
"Major Lazer","Jah No Partial[RELEASE]"
"Flux Pavilion","Jah No Partial[RELEASE]"
"Flowers For Whores","Léta Rozchodu[RELEASE]"
"Bonus (8)","Léta Rozchodu[RELEASE]"
"Marvelous (8)","Wobble On Da' Stick[RELEASE]"
"Peaches (3)","Wobble On Da' Stick[RELEASE]"
"Mick Boogie","God's Gift: The Nas/Jay-Z Project[RELEASE]"
"Joey Fingaz","God's Gift: The Nas/Jay-Z Project[RELEASE]"
"50 Cent","My Life[RELEASE]"
Eminem,"My Life[RELEASE]"
"Adam Levine","My Life[RELEASE]"
"Hamilton Bohannon","Let's Start II Dance Again[RELEASE]"
"Dr. Perri Johnson","Let's Start II Dance Again[RELEASE]"
Lecrae,"Church Clothes[RELEASE]"
"Don Cannon","Church Clothes[RELEASE]"
"MC II Fresh","H1 / Jazzy John's Freestyle Dub[RELEASE]"
StoneBridge,"H1 / Jazzy John's Freestyle Dub[RELEASE]"
"The Game (2)","It Must Be Me[RELEASE]"
"Pharrell Williams","It Must Be Me[RELEASE]"
Pacewon,"The Only Number That Matters Is Won[RELEASE]"
"Mr. Green (3)","The Only Number That Matters Is Won[RELEASE]"
Stepa,"..Ja Naksuvat Luupit[RELEASE]"
"Are (2)","..Ja Naksuvat Luupit[RELEASE]"
"Kelly Rowland",Daylight[RELEASE]
"Travis McCoy",Daylight[RELEASE]
StoneBridge,"F.T.P. (F**k That P***y)[RELEASE]"
"Jazzy John","F.T.P. (F**k That P***y)[RELEASE]"
"The Real Dynamic Duo","F.T.P. (F**k That P***y)[RELEASE]"
"Mikah 9","Sovereign Soul[RELEASE]"
"Factor (2)","Sovereign Soul[RELEASE]"
K.I.Z.,"Das System (Die Kleinen Dinge)[RELEASE]"
Sido,"Das System (Die Kleinen Dinge)[RELEASE]"
"Mr. Backside","Mr. Backside X Vimana Aircraft[RELEASE]"
"Vimana Aircraft","Mr. Backside X Vimana Aircraft[RELEASE]"
"Daniel Merriweather",Change[RELEASE]
Wale,Change[RELEASE]
"DJ Raze","Summer Vaca With Genevan[RELEASE]"
"The Genevan Heathen","Summer Vaca With Genevan[RELEASE]"
"Matt Foley","Summer Vaca With Genevan[RELEASE]"
Nujabes,"Luv(sic) Part 5[RELEASE]"
Shing02,"Luv(sic) Part 5[RELEASE]"
"Westside Connection","Light's Out[RELEASE]"
"Knoc-Turn'al","Light's Out[RELEASE]"
"Eko Fresh","Ich Will Dich[RELEASE]"
Valezka,"Ich Will Dich[RELEASE]"
"Joe Budden","Ich Will Dich[RELEASE]"
"Eloquent (3)",EP[RELEASE]
"Pano (3)",EP[RELEASE]
"D'Influence","Show Me Love[RELEASE]"
D-Vas,"Show Me Love[RELEASE]"
"Sarah Anne Webb","Show Me Love[RELEASE]"
"Yung La","Ain't I[RELEASE]"
"Young Dro","Ain't I[RELEASE]"
T.I.,"Ain't I[RELEASE]"
"Homeboy Sandman","Richardsun / The Mission[RELEASE]"
Jaylib,"Richardsun / The Mission[RELEASE]"
"Doman & Gooding","Runnin'[RELEASE]"
"Dru & Lincoln","Runnin'[RELEASE]"
N.A.P.,"5 Ans De Répit[RELEASE]"
"Faf Larage","5 Ans De Répit[RELEASE]"
"Busta Rhymes","It's A Party[RELEASE]"
"Zhané","It's A Party[RELEASE]"
"Жара","Жаз Дуэт[RELEASE]"
"Змей","Жаз Дуэт[RELEASE]"
"Diamond D","Stunts, Blunts, & Hip Hop[RELEASE]"
"The Psychotic Neurotics","Stunts, Blunts, & Hip Hop[RELEASE]"
"Flowjob (2)","Ιθύνων Νούς[RELEASE]"
Anser,"Ιθύνων Νούς[RELEASE]"
"Sydney Fresh","What You Wanna Do[RELEASE]"
"Good Guyz","What You Wanna Do[RELEASE]"
E-40,"Nah, Nah...[RELEASE]"
"Nate Dogg","Nah, Nah...[RELEASE]"
"Maestro A-Sid",N.A.T.E.[RELEASE]
L-Tune,N.A.T.E.[RELEASE]
"Leona Lewis",Trouble[RELEASE]
"Childish Gambino",Trouble[RELEASE]
(o)thers,Schizotypal/Uptown[RELEASE]
"Flat Affect",Schizotypal/Uptown[RELEASE]
"Cornel West","Never Forget: A Journey Of Revelations[RELEASE]"
BMWMB,"Never Forget: A Journey Of Revelations[RELEASE]"
"Die Hard (2)","You Know / Don't Stop[RELEASE]"
"Melle Mel","You Know / Don't Stop[RELEASE]"
"Big Melle","You Know / Don't Stop[RELEASE]"
"Rondō","You Know / Don't Stop[RELEASE]"
Murs,"The Final Adventure[RELEASE]"
"9th Wonder","The Final Adventure[RELEASE]"
"Morlockk Dilemma",Roh.kalt[RELEASE]
"Sylabil Spill",Roh.kalt[RELEASE]
Gracias,Globe[RELEASE]
"JTT (2)",Globe[RELEASE]
"N.L.I. The Invisible Man","Space Beat[RELEASE]"
"A.E.S. Master","Space Beat[RELEASE]"
Fabolous,"Tit 4 Tat[RELEASE]"
"Pharrell Williams","Tit 4 Tat[RELEASE]"
Perverz,"Preload / Reloaded (€xtraLoad Bundle)[RELEASE]"
"Krank Macht Reich","Preload / Reloaded (€xtraLoad Bundle)[RELEASE]"
"Double EE","Sex On The Brain[RELEASE]"
"MC Twinn","Sex On The Brain[RELEASE]"
RCA,"Another Def Jam / We Will Get Ill[RELEASE]"
"D.J. Speedy-D","Another Def Jam / We Will Get Ill[RELEASE]"
byDesign,"Edits With Love[RELEASE]"
"Osmose (3)","Edits With Love[RELEASE]"
"Simon Vegas","Vegas' World[RELEASE]"
Denyo,"Vegas' World[RELEASE]"
"Paolo 77","Vegas' World[RELEASE]"
"Illo 77","Vegas' World[RELEASE]"
Haju,Jawosen[RELEASE]
"Złote Twarze",Jawosen[RELEASE]
"DJ Raze","C.S.R.D Mixxtape Vol.2[RELEASE]"
CSRD,"C.S.R.D Mixxtape Vol.2[RELEASE]"
"DJ Raze","C.S.R.D Mixxtape Vol.1[RELEASE]"
CSRD,"C.S.R.D Mixxtape Vol.1[RELEASE]"
Zer.Fleisch,"Der Pinke Elefant Vol. 1[RELEASE]"
"Nex (8)","Der Pinke Elefant Vol. 1[RELEASE]"
"Apollo Brown","Dice Game[RELEASE]"
"Guilty Simpson","Dice Game[RELEASE]"
"Real Geizt","Imitierte Signale[RELEASE]"
Splidttercrist,"Imitierte Signale[RELEASE]"
Bintia,"Tage & Stunden[RELEASE]"
"Xavier Naidoo","Tage & Stunden[RELEASE]"
"Scheusal Und Kunstfehler","Symphonie Der Jahreszeiten: Winter[RELEASE]"
Pumpshot,"Symphonie Der Jahreszeiten: Winter[RELEASE]"
"Dream Team Posse","The Bounce[RELEASE]"
"Rudy Pardee","The Bounce[RELEASE]"
"Nex (8)",Eiszeit[RELEASE]
Zer.Fleisch,Eiszeit[RELEASE]
"Class 2000","Friends Forever[RELEASE]"
Graduation,"Friends Forever[RELEASE]"
"Sparky D","Feel The Strength[RELEASE]"
"Grand Creator K-Wiz","Feel The Strength[RELEASE]"
"9th Wonder","The Solution[RELEASE]"
Buckshot,"The Solution[RELEASE]"
Eminem,"Eminem & D 12 MP3[RELEASE]"
D12,"Eminem & D 12 MP3[RELEASE]"
Matlock,"The Wax Museum EP[RELEASE]"
"Mr. Green (3)","The Wax Museum EP[RELEASE]"
"DJ Kost","Double Face 6[RELEASE]"
"DJ James","Double Face 6[RELEASE]"
"A Tribe Called Quest","Bizarre Tribe - A Quest To The Pharcyde[RELEASE]"
"The Pharcyde","Bizarre Tribe - A Quest To The Pharcyde[RELEASE]"
"Amerigo Gazaway","Bizarre Tribe - A Quest To The Pharcyde[RELEASE]"
"Jennifer Lopez","All I Have[RELEASE]"
"LL Cool J","All I Have[RELEASE]"
S.L.A.B.,"Slow Loud & Banged Out[RELEASE]"
"Point Blank (5)","Slow Loud & Banged Out[RELEASE]"
"Nag (6)","Geen Half Werk[RELEASE]"
"Twan (4)","Geen Half Werk[RELEASE]"
"Master O.C.","Private Lessons[RELEASE]"
"Krazy Eddie","Private Lessons[RELEASE]"
"The Great Peso","Private Lessons[RELEASE]"
"The Main Attraction","Private Lessons[RELEASE]"
Radicalkicker,"Sphères[RELEASE]"
"Wicked Profayt","Sphères[RELEASE]"
"Philly Crew","P.S. P.S.K. ""I'll Tell You What It Means"" The Ultimate Remix[RELEASE]"
Mac-Money,"P.S. P.S.K. ""I'll Tell You What It Means"" The Ultimate Remix[RELEASE]"
"LL Cool J","Shut 'Em Down / Be A Man (Music From And Inspired By The Motion Picture Any Given Sunday)[RELEASE]"
"Hole (2)","Shut 'Em Down / Be A Man (Music From And Inspired By The Motion Picture Any Given Sunday)[RELEASE]"
"K Chill","This Is What You Want[RELEASE]"
Tetraz,"This Is What You Want[RELEASE]"
"MF Grimm","Good Morning Vietnam[RELEASE]"
"Drasar Monumental","Good Morning Vietnam[RELEASE]"
"DJ Magic Mike","Move Them Butts[RELEASE]"
"The Royal Posse","Move Them Butts[RELEASE]"
"Xavier Naidoo","Wenn Ich Schon Kinder Hätte[RELEASE]"
"Curse (3)","Wenn Ich Schon Kinder Hätte[RELEASE]"
"Jeannie Ortega",Crowded[RELEASE]
Papoose,Crowded[RELEASE]
"Gerald Walker (2)","On Your Side Part Deux[RELEASE]"
"Cardo (3)","On Your Side Part Deux[RELEASE]"
"DJ Scream (5)","Free Bricks[RELEASE]"
"Gucci Mane","Free Bricks[RELEASE]"
"Future (4)","Free Bricks[RELEASE]"
"Gucci Mane","Trap Back[RELEASE]"
"DJ Holiday (2)","Trap Back[RELEASE]"
"Kenny ""Dope"" Gonzalez","Urban Legends[RELEASE]"
"The Merciless R.N.S.","Urban Legends[RELEASE]"
"Ja Rule",Wonderful[RELEASE]
"R. Kelly",Wonderful[RELEASE]
Ashanti,Wonderful[RELEASE]
"Teflon Brothers","Seksikkäin Jäbä[RELEASE]"
"Stig (6)","Seksikkäin Jäbä[RELEASE]"
"Meiju Suvas","Seksikkäin Jäbä[RELEASE]"
Jay-Z,"Empire State Of Mind[RELEASE]"
"Alicia Keys","Empire State Of Mind[RELEASE]"
"Busta Rhymes","Shorty (Put It On The Floor)[RELEASE]"
Chingy,"Shorty (Put It On The Floor)[RELEASE]"
"Fat Joe","Shorty (Put It On The Floor)[RELEASE]"
"Nick Cannon","Shorty (Put It On The Floor)[RELEASE]"
"The Illtown Family","Real Christmas[RELEASE]"
"4 Matt","Real Christmas[RELEASE]"
Trina,"Da Club[RELEASE]"
"Mannie Fresh","Da Club[RELEASE]"
Oowee,"Why Cry[RELEASE]"
"Snoop Dogg","Why Cry[RELEASE]"
"Conor Maynard","Turn Around[RELEASE]"
Ne-Yo,"Turn Around[RELEASE]"
"Spike V.S.T.","Shut-Up And Dance[RELEASE]"
"Taz Money","Shut-Up And Dance[RELEASE]"
"Oxygen (16)","Days Before It Happened (Academy In-Store Practice Session: 12/14/12)[RELEASE]"
Edan,"Days Before It Happened (Academy In-Store Practice Session: 12/14/12)[RELEASE]"
A-Trak,"Money Makin'[RELEASE]"
"Dillon Francis","Money Makin'[RELEASE]"
"Tarééc","Für Das Volk [RELEASE]"
Chakuza,"Für Das Volk [RELEASE]"
Blezz,"Greatest Love Songs EP [RELEASE]"
"Robin Banks (6)","Greatest Love Songs EP [RELEASE]"
"Kano (4)","This Is The Girl[RELEASE]"
"Craig David","This Is The Girl[RELEASE]"
"Kanye West","Gold Digger[RELEASE]"
"Jamie Foxx","Gold Digger[RELEASE]"
"Kanye West","Good Life[RELEASE]"
T-Pain,"Good Life[RELEASE]"
"Keri Hilson","Knock You Down[RELEASE]"
"Kanye West","Knock You Down[RELEASE]"
Ne-Yo,"Knock You Down[RELEASE]"
Shantelle,"Crazy Over You[RELEASE]"
P-Man,"Crazy Over You[RELEASE]"
"Spark 950","Nuff Ruffness[RELEASE]"
"Timbo King","Nuff Ruffness[RELEASE]"
"LL Cool J",Hush[RELEASE]
"7 Aurelius",Hush[RELEASE]
"Mariah Carey","Say Somethin'[RELEASE]"
"Snoop Dogg","Say Somethin'[RELEASE]"
"Mary J. Blige","Not Today[RELEASE]"
"Eve (2)","Not Today[RELEASE]"
"DJ Muggs","Snap Ya Neck Back[RELEASE]"
"Dizzee Rascal","Snap Ya Neck Back[RELEASE]"
"Bambu (6)","Snap Ya Neck Back[RELEASE]"
"Foster Sylvers","Prime Time[RELEASE]"
Hy-Tech,"Prime Time[RELEASE]"
"Crooked I","Way Cool[RELEASE]"
B-Legit,"Way Cool[RELEASE]"
"Mr. Tan","Way Cool[RELEASE]"
"Mystic (6)","Breathe (Better Days)[RELEASE]"
"Donell Jones","Breathe (Better Days)[RELEASE]"
"Flying Lotus","See Thru To U[RELEASE]"
"Erykah Badu","See Thru To U[RELEASE]"
MYK,Adaptation[RELEASE]
Shirosky,Adaptation[RELEASE]
"Mariah Carey","When Christmas Comes[RELEASE]"
"John Legend","When Christmas Comes[RELEASE]"
"Damiano Von Erckert","Mr. Pink, What Have You Been Smokin'?[RELEASE]"
"Tito Wun","Mr. Pink, What Have You Been Smokin'?[RELEASE]"
Igrekzet,"Sznyty Spojrzeń EP[RELEASE]"
"NoTime (2)","Sznyty Spojrzeń EP[RELEASE]"
"DJ Drama","The Seven Day Theory[RELEASE]"
"Jim Jones (2)","The Seven Day Theory[RELEASE]"
"Eko Fresh","Ring Frei[RELEASE]"
"Bushido (2)","Ring Frei[RELEASE]"
"Terror Squad","We Takin' Over[RELEASE]"
"DJ Khaled","We Takin' Over[RELEASE]"
T.I.,"We Takin' Over[RELEASE]"
Akon,"We Takin' Over[RELEASE]"
"Rick Ross","We Takin' Over[RELEASE]"
"Fat Joe","We Takin' Over[RELEASE]"
"Lil Wayne","We Takin' Over[RELEASE]"
"Baby (2)","We Takin' Over[RELEASE]"
"Terror Squad","Listennn - The Album[RELEASE]"
"DJ Khaled","Listennn - The Album[RELEASE]"
Alesha,"Every Little Part Of Me[RELEASE]"
"Jay Sean","Every Little Part Of Me[RELEASE]"
"Cumulus (4)","Please Go Back: Operation Free Flow[RELEASE]"
"Rob Rush (2)","Please Go Back: Operation Free Flow[RELEASE]"
Mashonda,Blackout[RELEASE]
Nas,Blackout[RELEASE]
"Snoop Dogg",Blackout[RELEASE]
"Cymarshall Law","Freedom Express Line[RELEASE]"
"The Beatnikz","Freedom Express Line[RELEASE]"
"Agent Finch","I Remember When / I'm Still Def Defiance[RELEASE]"
Specifik,"I Remember When / I'm Still Def Defiance[RELEASE]"
"Cap Kendricks","Wir Korrigieren 4 Tonnen Stahl Mit Einer Hand[RELEASE]"
"Edgar Wasser","Wir Korrigieren 4 Tonnen Stahl Mit Einer Hand[RELEASE]"
"Split Prophets","The Scribbled Thoughts EP[RELEASE]"
"Hi Res","The Scribbled Thoughts EP[RELEASE]"
"Upfront MC","The Scribbled Thoughts EP[RELEASE]"
"La Base (3)",Connexion[RELEASE]
"Tru Comers",Connexion[RELEASE]
"Doo Doo Brown","Hotel Money[RELEASE]"
"2 Hyped Brothers & A Dog","Hotel Money[RELEASE]"
"Polarity (4)","Hennessy & 76th[RELEASE]"
"Lex (13)","Hennessy & 76th[RELEASE]"
"Cassidy (3)",Hotel[RELEASE]
"R. Kelly",Hotel[RELEASE]
"Lil' Jon & The East Side Boyz","Get Low[RELEASE]"
"Busta Rhymes","Get Low[RELEASE]"
"Elephant Man","Get Low[RELEASE]"
"Ying Yang Twins","Get Low[RELEASE]"
Grubson,"Gruby Brzuch[RELEASE]"
"Dj BRK","Gruby Brzuch[RELEASE]"
"Olive Oil","Southtime Ep X Book[RELEASE]"
"Popy Oil","Southtime Ep X Book[RELEASE]"
"Le Jad","Around The Wheel[RELEASE]"
Ligone,"Around The Wheel[RELEASE]"
"Nicole Scherzinger","Baby Love[RELEASE]"
"Will I Am","Baby Love[RELEASE]"
"Nina Sky","Move Ya Body[RELEASE]"
"Jabba (3)","Move Ya Body[RELEASE]"
Ludacris,Representin[RELEASE]
"Kelly Rowland",Representin[RELEASE]
"Kelly Rowland",Ice[RELEASE]
"Lil Wayne",Ice[RELEASE]
"Big Boi","Mama Told Me[RELEASE]"
"Kelly Rowland","Mama Told Me[RELEASE]"
"P. Diddy","Last Night[RELEASE]"
"Keyshia Cole","Last Night[RELEASE]"
"The Gladiators (5)","We've Got The Power[RELEASE]"
Sonia,"We've Got The Power[RELEASE]"
"DJ Z-Trip","Roast Beef[RELEASE]"
"DJ Hype (2)","Roast Beef[RELEASE]"
"The Glitch Mob","Drive It Like You Stole It / Bass Head[RELEASE]"
"King Fantastic","Drive It Like You Stole It / Bass Head[RELEASE]"
Bassnectar,"Drive It Like You Stole It / Bass Head[RELEASE]"
"Mary Rose","Endless Love[RELEASE]"
"Chris Ballin","Endless Love[RELEASE]"
"The Dogs","Rap Protest (1st Admendment Rights)[RELEASE]"
"Disco Rick","Rap Protest (1st Admendment Rights)[RELEASE]"
"Ide (4)","Table Of Content Mixtape[RELEASE]"
"DJ Connect","Table Of Content Mixtape[RELEASE]"
"DJ Flexxx","Welcome To The D.J. Flexxx Show[RELEASE]"
"The All Stars (10)","Welcome To The D.J. Flexxx Show[RELEASE]"
TLC,"Come Get Some[RELEASE]"
"Lil' Jon","Come Get Some[RELEASE]"
"Sean Paul (2)","Come Get Some[RELEASE]"
"Double A.B","Media Shower[RELEASE]"
"Dub Sonata","Media Shower[RELEASE]"
"Star Slinger","Ladies In The Back[RELEASE]"
Tekilatex,"Ladies In The Back[RELEASE]"
Kabanjak,"Dub O' Dup[RELEASE]"
"Fat Albert Einstein","Dub O' Dup[RELEASE]"
RuPaul,"Peanut Butter [RELEASE]"
"Big Freedia","Peanut Butter [RELEASE]"
Snap!,"The Power (Of Bhangra) 2003[RELEASE]"
Motivo,"The Power (Of Bhangra) 2003[RELEASE]"
"Circle Of Power","Street Legal (Treehouse Pt. II) / Get Da Paper[RELEASE]"
"Blak Forest","Street Legal (Treehouse Pt. II) / Get Da Paper[RELEASE]"
"Big Daddy Kane",Untitled[RELEASE]
"Biz Markie",Untitled[RELEASE]
"Grand Agent","The Ghetto Ain't A Place[RELEASE]"
"Tom Caruana","The Ghetto Ain't A Place[RELEASE]"
Teej,"Sound Of Teejuana[RELEASE]"
"Tom Caruana","Sound Of Teejuana[RELEASE]"
"Soulbrotha (2)","That's It[RELEASE]"
P!Jay,"That's It[RELEASE]"
"Kan Kick","Beat Life[RELEASE]"
"DJ Choku","Beat Life[RELEASE]"
"Juvenile (2)","Back That Thang Up[RELEASE]"
"Mannie Fresh","Back That Thang Up[RELEASE]"
"Lil Wayne","Back That Thang Up[RELEASE]"
"The Product G&B","Slam More Harder![RELEASE]"
Onyx,"Slam More Harder![RELEASE]"
Marger,Space[RELEASE]
"Foreign Beggars",Space[RELEASE]
"Gutta Behavior AKA Gutta-B","Killa Like Me Ice Or Life[RELEASE]"
"Beo Nuts","Killa Like Me Ice Or Life[RELEASE]"
"Digital DJ's","Digital D.J.'s Vol. 1[RELEASE]"
"Jealous J","Digital D.J.'s Vol. 1[RELEASE]"
"Deejay KC","Funky Breaks Vol.1[RELEASE]"
"DJ Skwad","Funky Breaks Vol.1[RELEASE]"
"DJ Solo (10)","Funky Breaks Vol.1[RELEASE]"
"Moe Pope","Let The Right Ones In[RELEASE]"
"Rain (9)","Let The Right Ones In[RELEASE]"
"Jaguar Wright","I Can't Wait[RELEASE]"
Bilal,"I Can't Wait[RELEASE]"
"Toni Braxton","No More Love [RELEASE]"
"Irv Gotti","No More Love [RELEASE]"
"Big Punisher","Makes Me Sweat[RELEASE]"
"Beenie Man","Makes Me Sweat[RELEASE]"
"Big Punisher"," Who Is A Thug[RELEASE]"
6430," Who Is A Thug[RELEASE]"
"Addictive (2)","Fake Flosser[RELEASE]"
"P. Diddy","Fake Flosser[RELEASE]"
"Beres Hammond","Idiot Sound / Lean Back (Remix)[RELEASE]"
"Terror Squad","Idiot Sound / Lean Back (Remix)[RELEASE]"
"Fat Joe","Idiot Sound / Lean Back (Remix)[RELEASE]"
"Dis 'N' Dat","Whoot, Here It Is! (The Answer)[RELEASE]"
"95 South","Whoot, Here It Is! (The Answer)[RELEASE]"
Aaliyah,"Come Back In One Piece[RELEASE]"
DMX,"Come Back In One Piece[RELEASE]"
Rastegar,"Va Dig Själv[RELEASE]"
"Håkan Hemlin","Va Dig Själv[RELEASE]"
Tranqvillia,"Va Dig Själv[RELEASE]"
Ekow,Escalate[RELEASE]
Eibou,Escalate[RELEASE]
"Artice Bartley",G.E.T.T.O.[RELEASE]
"95 South",G.E.T.T.O.[RELEASE]
Ree-Lax,"Last Christmas[RELEASE]"
"Keno (3)","Last Christmas[RELEASE]"
"Snoop Dogg","Sunday School[RELEASE]"
"DJ Whoo Kid","Sunday School[RELEASE]"
Trackmasters,"Whassup Shawty[RELEASE]"
"LL Cool J","Whassup Shawty[RELEASE]"
Duchess,"Whassup Shawty[RELEASE]"
"XSO Drive","Whassup Shawty[RELEASE]"
"Lyric (4)","Young & Sexy[RELEASE]"
Loon,"Young & Sexy[RELEASE]"
A-Connection,Decision[RELEASE]
"Tyron Ricketts",Decision[RELEASE]
Jay-Bo-Monkey,Decision[RELEASE]
"Vincent Laguardia Gambini",Wiseguy[RELEASE]
"Joe Pesci (2)",Wiseguy[RELEASE]
Bejarano,"Per La Vita[RELEASE]"
"Microphone Mafia","Per La Vita[RELEASE]"
"Dream Warriors","Sound Clash[RELEASE]"
"Beenie Man","Sound Clash[RELEASE]"
O.S.T.R.,HAOS[RELEASE]
"Hades (9)",HAOS[RELEASE]
7.L.C,Represent[RELEASE]
"Scap G",Represent[RELEASE]
"Yogi Bear","Doin The Nasty[RELEASE]"
"Tim Scratch","Doin The Nasty[RELEASE]"
"Eightball (3)","8 Ball Presents The Slab[RELEASE]"
"The Slab","8 Ball Presents The Slab[RELEASE]"
"Postman (4)",Downhill[RELEASE]
Anouk,Downhill[RELEASE]
"Mack 10","Connected For Life[RELEASE]"
"Ice Cube","Connected For Life[RELEASE]"
WC,"Connected For Life[RELEASE]"
"Butch Cassidy","Connected For Life[RELEASE]"
"Kelly Price","Take It To The Head[RELEASE]"
"Keith Murray","Take It To The Head[RELEASE]"
"Whiskey (3)","Traum Rausch Realität[RELEASE]"
"Pipe (3)","Traum Rausch Realität[RELEASE]"
"DJ Vlad","Rap Phenomenon [RELEASE]"
"Dirty Harry (3)","Rap Phenomenon [RELEASE]"
"Notorious B.I.G.","Rap Phenomenon [RELEASE]"
"Oxygen (16)","The Process / Guillotine 16's[RELEASE]"
"Dr. Becket","The Process / Guillotine 16's[RELEASE]"
Emskee,"The Process / Guillotine 16's[RELEASE]"
"Faf Larage","We Luv New York[RELEASE]"
Akhenaton,"We Luv New York[RELEASE]"
Dio,Aye[RELEASE]
"Sef (3)",Aye[RELEASE]
Tab,"Everyday Thang[RELEASE]"
"Da Villon","Everyday Thang[RELEASE]"
"Karaoke Tundra","Kačica S Hlavou Tigra Mixtape[RELEASE]"
"DJ Spinhandz","Kačica S Hlavou Tigra Mixtape[RELEASE]"
Efe,"Unantastbar / Gut So![RELEASE]"
"Mr. L (2)","Unantastbar / Gut So![RELEASE]"
"Gangsta Pat","And Da Street Muthaf*ckas[RELEASE]"
"DFC (2)","And Da Street Muthaf*ckas[RELEASE]"
"Puto Largo",Limonada[RELEASE]
Legendario,Limonada[RELEASE]
"Blu Rum 13","Smell The Urgency[RELEASE]"
"Luke Vibert","Smell The Urgency[RELEASE]"
"Kenny ""Dope"" Gonzalez",N.Y.C.[RELEASE]
Kess,N.Y.C.[RELEASE]
"Jamie Kennedy","Circle Circle Dot Dot / Rollin'[RELEASE]"
"Stu Stone","Circle Circle Dot Dot / Rollin'[RELEASE]"
Saget,"Circle Circle Dot Dot / Rollin'[RELEASE]"
Overground,"This Is How We Do It[RELEASE]"
"Montell Jordan","This Is How We Do It[RELEASE]"
Loon,"Down For Me[RELEASE]"
"Mario Winans","Down For Me[RELEASE]"
"Jody Watley",Friends[RELEASE]
"Eric B. & Rakim",Friends[RELEASE]
Twista,Sunshine[RELEASE]
"Anthony Hamilton",Sunshine[RELEASE]
"DJ Perro","Friend Of Blend[RELEASE]"
Michita,"Friend Of Blend[RELEASE]"
"Benny B","Je T'Aime A L'Infini[RELEASE]"
"DJ Daddy K","Je T'Aime A L'Infini[RELEASE]"
Perfect,"Je T'Aime A L'Infini[RELEASE]"
"Ruff Ryders","U, Me & She[RELEASE]"
"Eve (2)","U, Me & She[RELEASE]"
"Chico & Coolwadda","High Come Down[RELEASE]"
"Nate Dogg","High Come Down[RELEASE]"
Muro,"Dig On Summer[RELEASE]"
"Tina (8)","Dig On Summer[RELEASE]"
A-Gee,"Eye Of Da Baller / Bump[RELEASE]"
"Mikel Knight","Eye Of Da Baller / Bump[RELEASE]"
Dexpistols,"Lesson.06 ""Roc Trax Jam""[RELEASE]"
